model,bin,n,mean_pred,observed_freq,lo_edge,hi_edge,ece
logistic,0,220,0.429906476711626,0.44545454545454544,0.29444237656953004,0.4470138377465633,0.027769837835613542
logistic,1,220,0.45205927027572884,0.44545454545454544,0.4470138377465633,0.45595824584917444,0.027769837835613542
logistic,2,220,0.458998981793424,0.5318181818181819,0.45595824584917444,0.4619853873477054,0.027769837835613542
logistic,3,220,0.46464864037256964,0.4772727272727273,0.4619853873477054,0.467241366487353,0.027769837835613542
logistic,4,220,0.46931423252491905,0.4590909090909091,0.467241366487353,0.47140569422835804,0.027769837835613542
logistic,5,219,0.4746333670488826,0.4246575342465753,0.47140569422835804,0.47778973303053235,0.027769837835613542
logistic,6,220,0.4808435378186047,0.4818181818181818,0.47778973303053235,0.48389562098029626,0.027769837835613542
logistic,7,220,0.48795693480138314,0.4954545454545455,0.48389562098029626,0.4923324425106164,0.027769837835613542
logistic,8,220,0.49817299406064297,0.42272727272727273,0.4923324425106164,0.5063221972773467,0.027769837835613542
logistic,9,220,0.5306315565309024,0.5045454545454545,0.5063221972773467,0.7430905160266966,0.027769837835613542
random_forest,0,220,0.41764437152733147,0.43636363636363634,0.3816073886300586,0.4312750023296699,0.03364414887002347
random_forest,1,220,0.4386200157422514,0.5045454545454545,0.4312750023296699,0.44511886823960933,0.03364414887002347
random_forest,2,220,0.4503623164140576,0.4909090909090909,0.44511886823960933,0.4551363266422471,0.03364414887002347
random_forest,3,220,0.4591907445908174,0.4772727272727273,0.4551363266422471,0.46327021954967074,0.03364414887002347
random_forest,4,220,0.46776466885208406,0.4590909090909091,0.46327021954967074,0.4720227344082423,0.03364414887002347
random_forest,5,219,0.4765089629212407,0.4657534246575342,0.4720227344082423,0.4806525819485444,0.03364414887002347
random_forest,6,220,0.4856716187957763,0.42272727272727273,0.4806525819485444,0.49048007872382143,0.03364414887002347
random_forest,7,220,0.4955606887356886,0.5,0.49048007872382143,0.5011633808858771,0.03364414887002347
random_forest,8,220,0.5083056693953613,0.45454545454545453,0.5011633808858771,0.5156351798721717,0.03364414887002347
random_forest,9,220,0.529763545809788,0.4772727272727273,0.5156351798721717,0.5763301793918169,0.03364414887002347
lightgbm,0,220,0.38346261246228786,0.43636363636363634,0.31167568045722427,0.4065808933614341,0.06335053020101758
lightgbm,1,220,0.41636650187921637,0.4909090909090909,0.4065808933614341,0.42562269216305926,0.06335053020101758
lightgbm,2,220,0.4347891876530749,0.5318181818181819,0.42562269216305926,0.4428675508174212,0.06335053020101758
lightgbm,3,220,0.4506647026094028,0.4818181818181818,0.4428675508174212,0.45649978652751383,0.06335053020101758
lightgbm,4,220,0.4628119543810531,0.4818181818181818,0.45649978652751383,0.4690529268901047,0.06335053020101758
lightgbm,5,219,0.4760432724989081,0.4657534246575342,0.4690529268901047,0.4828784238784213,0.06335053020101758
lightgbm,6,220,0.4918611651875824,0.4954545454545455,0.4828784238784213,0.5017179692546192,0.06335053020101758
lightgbm,7,220,0.5105251015520682,0.4954545454545455,0.5017179692546192,0.5222313170639421,0.06335053020101758
lightgbm,8,220,0.5374845672880789,0.45,0.5222313170639421,0.5552443645427118,0.06335053020101758
lightgbm,9,220,0.6012843609450919,0.35909090909090907,0.5552443645427118,0.7242292469140755,0.06335053020101758
