z_threshold,vol_window,cooldown,horizon,vix_high_quantile,n_events,n_dates,mean_car,se_clustered,ci_lo,ci_hi,p_value,recovery_rate,median_car,mean_car_broad,mean_car_sector,mean_car_idio,diff_broad_minus_idio,mean_car_avol_q4,mean_car_avol_q1,diff_avol_q4_minus_q1,mean_car_high_vix,mean_car_low_vix,diff_high_minus_low_vix,ols_adj_r2,beta_crash_z,p_crash_z,beta_avol,p_avol,beta_rv20,p_rv20
-2.5,40,5,5,0.6,30913,3832,-0.0018647461634540377,0.000629819165515358,-0.00309955916889123,-0.0006299331580168451,0.0030875958117689774,0.4805421667259729,-0.0013579343739980043,-0.0029843225669585987,-0.002893175610428794,-0.000979139868004843,-0.0020051826989537554,-0.0013727569916618682,-0.0019763288627736584,0.0006035718711117901,-0.002239410337487955,-0.0016141002407429772,-0.0006253100967449777,0.011978286063305865,4.557696015788323e-05,0.8950017371312172,-0.0022698576578406167,0.007301119760577106,0.038037799459947154,3.9285768391390344e-08
-2.5,40,5,5,0.75,30913,3832,-0.0018647461634540377,0.000629819165515358,-0.00309955916889123,-0.0006299331580168451,0.0030875958117689774,0.4805421667259729,-0.0013579343739980043,-0.0029843225669585987,-0.002893175610428794,-0.000979139868004843,-0.0020051826989537554,-0.0013727569916618682,-0.0019763288627736584,0.0006035718711117901,-0.0033561501088807044,-0.0013666032152987535,-0.0019895468935819506,0.011978286063305865,4.557696015788323e-05,0.8950017371312172,-0.0022698576578406167,0.007301119760577106,0.038037799459947154,3.9285768391390344e-08
-2.5,40,5,5,0.9,30913,3832,-0.0018647461634540377,0.000629819165515358,-0.00309955916889123,-0.0006299331580168451,0.0030875958117689774,0.4805421667259729,-0.0013579343739980043,-0.0029843225669585987,-0.002893175610428794,-0.000979139868004843,-0.0020051826989537554,-0.0013727569916618682,-0.0019763288627736584,0.0006035718711117901,-0.008064043154971461,-0.0011703107221940913,-0.006893732432777369,0.011978286063305865,4.557696015788323e-05,0.8950017371312172,-0.0022698576578406167,0.007301119760577106,0.038037799459947154,3.9285768391390344e-08
-2.5,40,5,10,0.6,30887,3827,-0.001278511030886591,0.0008567245702473828,-0.00295819170156891,0.00040116963979572795,0.13569655656236307,0.4861268494836015,-0.0013808185257457861,-0.0019318485548984992,-0.0006034593019941888,-0.0009930378913240165,-0.0009388106635744827,3.0289546508663584e-05,-0.0023278979321362686,0.002358187478644932,-0.0009339173088806826,-0.00150936423208551,0.0005754469232048273,0.007469153464157108,1.2147352896410828e-05,0.9799897084914698,-0.0007044732238920427,0.5281627375850328,0.04381909871318754,8.653629306095304e-08
-2.5,40,5,10,0.75,30887,3827,-0.001278511030886591,0.0008567245702473828,-0.00295819170156891,0.00040116963979572795,0.13569655656236307,0.4861268494836015,-0.0013808185257457861,-0.0019318485548984992,-0.0006034593019941888,-0.0009930378913240165,-0.0009388106635744827,3.0289546508663584e-05,-0.0023278979321362686,0.002358187478644932,-0.0011175311558092478,-0.0013323402196842166,0.00021480906387496873,0.007469153464157108,1.2147352896410828e-05,0.9799897084914698,-0.0007044732238920427,0.5281627375850328,0.04381909871318754,8.653629306095304e-08
-2.5,40,5,10,0.9,30887,3827,-0.001278511030886591,0.0008567245702473828,-0.00295819170156891,0.00040116963979572795,0.13569655656236307,0.4861268494836015,-0.0013808185257457861,-0.0019318485548984992,-0.0006034593019941888,-0.0009930378913240165,-0.0009388106635744827,3.0289546508663584e-05,-0.0023278979321362686,0.002358187478644932,-0.0074534566746454894,-0.0005861558393456982,-0.006867300835299791,0.007469153464157108,1.2147352896410828e-05,0.9799897084914698,-0.0007044732238920427,0.5281627375850328,0.04381909871318754,8.653629306095304e-08
-2.5,40,5,20,0.6,30854,3819,-0.001781090414478158,0.0011109294225399354,-0.00395916255064191,0.0003969817216855937,0.10896361369086292,0.4801322356906722,-0.0029018602072292676,-0.003024790171151293,-0.0010539289833086947,-0.001221870046287496,-0.001802920124863797,-0.0001583800496846705,-0.002886249808189282,0.0027278697585046115,-0.0012525275905674233,-0.002133484665380615,0.0008809570748131916,0.005638815355398341,-4.726496968827781e-05,0.9411570940414484,-0.0017871398267192088,0.2372052097778211,0.0492244524619183,4.945422699270452e-07
-2.5,40,5,20,0.75,30854,3819,-0.001781090414478158,0.0011109294225399354,-0.00395916255064191,0.0003969817216855937,0.10896361369086292,0.4801322356906722,-0.0029018602072292676,-0.003024790171151293,-0.0010539289833086947,-0.001221870046287496,-0.001802920124863797,-0.0001583800496846705,-0.002886249808189282,0.0027278697585046115,-0.0014801904791975694,-0.0018814164009378041,0.00040122592174023477,0.005638815355398341,-4.726496968827781e-05,0.9411570940414484,-0.0017871398267192088,0.2372052097778211,0.0492244524619183,4.945422699270452e-07
-2.5,40,5,20,0.9,30854,3819,-0.001781090414478158,0.0011109294225399354,-0.00395916255064191,0.0003969817216855937,0.10896361369086292,0.4801322356906722,-0.0029018602072292676,-0.003024790171151293,-0.0010539289833086947,-0.001221870046287496,-0.001802920124863797,-0.0001583800496846705,-0.002886249808189282,0.0027278697585046115,-0.008905439973226782,-0.0009813346637231755,-0.007924105309503606,0.005638815355398341,-4.726496968827781e-05,0.9411570940414484,-0.0017871398267192088,0.2372052097778211,0.0492244524619183,4.945422699270452e-07
-2.5,40,5,60,0.6,30611,3781,-0.0010784382504868233,0.0018369283556982621,-0.0046799048614337025,0.002523028360460056,0.5571797948073844,0.48632844402339026,-0.003695900996073087,0.0012610912469759009,0.0033516001204948187,-0.0032915853093787853,0.004552676556354687,0.002995380471933649,-0.0029220969886126344,0.005917477460546283,0.005192232047060616,-0.005280324474202116,0.010472556521262732,0.01679175256295007,0.0006961452447469774,0.33260857635092445,-0.0017100989344011768,0.4483359058977924,0.12533832611056483,1.1027392104665275e-14
