term,coef,std_coef,se_hc3,ci_lo,ci_hi,t,p_value,se_cluster_date,p_value_cluster,ci_lo_cluster,ci_hi_cluster,label
const,-0.007783503264283616,,0.004438720156111231,-0.016483234907713633,0.0009162283791464025,-1.7535467410729388,0.07950820376105051,0.0058761798070253056,0.18530862845143892,-0.01930060405273474,0.003733597524167509,Intercept
crash_z,-0.00023129478528318052,-0.005369883183464708,0.0009028428732002648,-0.0020008343004543623,0.0015382447298880012,-0.2561849820703804,0.7978080043503031,0.0009000540843487166,0.797195167294742,-0.001995368374744841,0.00153277880417848,Crash z-score
avol,-0.0022356849894837375,-0.015096828537228284,0.00233908897557577,-0.0068202151382469375,0.002348845159279462,-0.9557930514094363,0.3391767996012155,0.0027412176730101296,0.41473983281137417,-0.007608372902368286,0.003137002923400811,Abnormal volume
mom_20,-0.02143674794538011,-0.01932769003462209,0.024899462986257167,-0.0702387986328323,0.027365302742072082,-0.8609321396695084,0.38927541907246643,0.030212895247532116,0.477999904302592,-0.08065293449922442,0.037779438608464194,Momentum 20d
rv_20,0.06299954517225327,0.10058653330158752,0.016307148933377917,0.0310381205723018,0.09496096977220475,3.8633083826998162,0.00011186164564099166,0.019322845143198205,0.0011126857369758783,0.025127464612740083,0.10087162573176646,Realised vol 20d
spy_ret_event,0.12926924870420553,0.029941278952983902,0.11658019922741353,-0.09922374309202922,0.35776224050044025,1.1088439508671573,0.267497506576703,0.15440198276304115,0.4024659302857774,-0.17335307665292937,0.43189157406134043,Market return (event day)
vix,-0.00031198349204624245,-0.037315432193532776,0.0001825204004076108,-0.0006697169032889895,4.574991919650454e-05,-1.7093075149381123,0.08739400202220639,0.0002733958157447701,0.2538107687256359,-0.0008478294444299405,0.00022386246033745557,VIX
