group,mean_car20,median_car20,ci_lo,ci_hi,p_value,n,recovery_rate,regained_precrash_rate,q_value,reject_fdr
all_events,-0.0026532490137170074,-0.004314288902551366,-0.0040304746588295205,-0.0012379914160378024,0.0,14647,0.4714275960947634,0.38943128285655765,0.0,True
broad_market,-0.00350867713014579,-0.00387109909090666,-0.006117292104925141,-0.0009901936921152578,0.005,4948,0.473322554567502,0.48201293451899757,0.01,True
sector,-0.0024095425830723037,-0.004050911355339637,-0.006796576729323466,0.0024663469349361254,0.305,1444,0.47022160664819945,0.4328254847645429,0.345,False
idiosyncratic,-0.0022641605293646154,-0.004460419756976253,-0.0039795159859283835,-0.00055009137097611,0.007,8166,0.4709772226304188,0.32586333578251286,0.0112,True
avol_q4_highest,-0.0013842177989654028,-0.00497420427705586,-0.0042808599034810995,0.0016628313395780185,0.345,3653,0.46619217081850534,0.21571311251026554,0.345,False
avol_q1_lowest,-0.0056538004773600825,-0.004884597938844326,-0.008122846552859544,-0.0031673030036622673,0.0,3657,0.463768115942029,0.477167076838939,0.0,True
high_vix,-0.0018183076428951773,-0.0045260540090446,-0.005290960260399796,0.0019169321070559048,0.309,3699,0.4731008380643417,0.47769667477696676,0.345,False
low_vix,-0.0029353505967157248,-0.004226445480599361,-0.004269060054179373,-0.0015502452001210918,0.0,10948,0.4708622579466569,0.3596090610157106,0.0,True
