term,coef,std_coef,se_hc3,ci_lo,ci_hi,t,p_value,se_cluster_date,p_value_cluster,ci_lo_cluster,ci_hi_cluster
const,-0.009681301340422254,,0.0045377710037755835,-0.018575169077912568,-0.0007874336029319411,-2.133492706522007,0.03288432932685888,0.0057553940421779136,0.09254429573584326,-0.020961666379927364,0.001599063699082857
type_broad_market,0.009566120615450039,0.0539523034613258,0.0030419479050756825,0.0036040122786546343,0.015528228952245444,3.1447351874397196,0.0016623723096051773,0.005398168197929783,0.07637713646771775,-0.0010140946349818207,0.0201463358658819
type_sector,0.0014500262366702766,0.0051570779369328875,0.0026253488424854503,-0.003695562941455126,0.006595615414795679,0.5523175485119604,0.5807308096053634,0.004309850512486706,0.7365355683551896,-0.006997125546555163,0.009897178019895717
crash_z,-0.00025387213274684914,-0.005894052884584251,0.0009022015727582741,-0.0020221547221484595,0.0015144104566547612,-0.2813918091172169,0.7784098998032996,0.0008985829211651628,0.7775409858330231,-0.002015062295353363,0.0015073180298596645
avol,-0.0016011659690110254,-0.010812135076053952,0.0023421031746790567,-0.0061916038394589,0.002989271901436849,-0.6836445064937997,0.49419967331257975,0.002702268046785588,0.5534979467588423,-0.0068975140172841745,0.003695182079262124
mom_20,-0.02207353692076464,-0.019901828423759108,0.024982195223650697,-0.07103773981386857,0.02689066597233929,-0.8835707480128718,0.3769279756467786,0.03008442510448271,0.4631195578697501,-0.0810379266211434,0.036890852779614125
rv_20,0.06454994152629105,0.10306193203771627,0.016438342737179003,0.032331381795894634,0.09676850125668747,3.926791317004047,8.608660989285488e-05,0.019583655576441063,0.0009803257923498938,0.026166681910829576,0.10293320114175253
spy_ret_event,0.30721913629115355,0.07115794322001773,0.15168460692662666,0.009922769705850487,0.6045155028764566,2.025381101720905,0.042828246467439206,0.185125812329684,0.09701198028560849,-0.055620788483748185,0.6700590610660553
vix,-0.0003171287215095907,-0.03793083802766992,0.00018243720522244174,-0.0006746990731857192,4.044163016653777e-05,-1.7382897371340593,0.08215977381110125,0.00026976637219490305,0.23976753896299674,-0.000845861095251628,0.0002116036522324467
