hypothesis,group_a,group_b,mean_car20_a,mean_car20_b,diff,ci_lo,ci_hi,p_value,n_a,n_b,recovery_rate_a,recovery_rate_b,recovery_rate_diff,q_value,reject_fdr
H2,broad_market,idiosyncratic,-0.00350867713014579,-0.002264160529364615,-0.0012445166007811746,-0.0043876771666261655,0.0016514365014761152,0.429,4948,8166,0.473322554567502,0.4709772226304188,0.002345331937083195,0.8450000000000001,False
H2,sector,idiosyncratic,-0.0024095425830723037,-0.002264160529364615,-0.00014538205370768836,-0.004768085331662447,0.004936436238352706,0.948,1444,8166,0.47022160664819945,0.4709772226304188,-0.0007556159822193487,0.9480000000000001,False
H2,broad_market,sector,-0.00350867713014579,-0.0024095425830723037,-0.0010991345470734862,-0.006647901434115186,0.004321739071472965,0.676,4948,1444,0.473322554567502,0.47022160664819945,0.0031009479193025435,0.8450000000000001,False
H3,avol_q4_highest,avol_q1_lowest,-0.0013842177989654028,-0.0056538004773600825,0.00426958267839468,0.000507811473736836,0.00806355173272226,0.028,3653,3657,0.46619217081850534,0.463768115942029,0.0024240548764763448,0.14,False
H5,high_vix,low_vix,-0.0018183076428951773,-0.0029353505967157248,0.0011170429538205474,-0.0026040753666418557,0.005180640080944559,0.572,3699,10948,0.4731008380643417,0.4708622579466569,0.0022385801176847964,0.8450000000000001,False
