group,tau,mean_car,lo,hi,n_events
all_events,28,-0.003251385375497021,-0.00484079773586284,-0.0017153415675825105,14536
all_events,29,-0.0030591676454469817,-0.004700824688929555,-0.0015283790146739791,14536
all_events,30,-0.0029673972678563236,-0.004582283544031811,-0.001416348529529983,14536
all_events,31,-0.0031544352193727133,-0.004851992612036056,-0.0015668817740145536,14536
all_events,32,-0.0031861572407599183,-0.004802111350124919,-0.0015954757587948144,14536
all_events,33,-0.0033362837338167797,-0.0049765209197076025,-0.0017212264087936976,14536
all_events,34,-0.003470520483522535,-0.0052007246332481044,-0.0018367288691335697,14536
all_events,35,-0.0036661362666546393,-0.005400916249756718,-0.0019692311399458137,14536
all_events,36,-0.003711142081072092,-0.005462437143678757,-0.0020322896905416153,14536
all_events,37,-0.003967131096221148,-0.005744844595932261,-0.002239398233282889,14536
all_events,38,-0.0037092413931058,-0.005497819718816956,-0.0019580136789522865,14536
all_events,39,-0.0037801968549184646,-0.005620822327728258,-0.0019679338239392756,14536
all_events,40,-0.0039244895928926046,-0.005811408142347199,-0.002096255497065344,14536
all_events,41,-0.004178886765384203,-0.006155442102399532,-0.002264059657534483,14536
all_events,42,-0.0038677976801653165,-0.005843780117284319,-0.0019642603400675984,14536
all_events,43,-0.004297581036195981,-0.006278170174393692,-0.00240029673564246,14536
all_events,44,-0.004529886013033745,-0.006535327848182518,-0.0026342539457508258,14536
all_events,45,-0.004611168381692447,-0.006621981194526503,-0.002682790695154668,14536
all_events,46,-0.004627957224722678,-0.00666883178447219,-0.002651260622206876,14536
all_events,47,-0.004941484401801584,-0.006990523169373659,-0.0029294443552294025,14536
all_events,48,-0.004950987493900428,-0.0070450018954355265,-0.0028929321825023175,14536
all_events,49,-0.005046831182337979,-0.007166625231890682,-0.002985963120335458,14536
all_events,50,-0.004852122435118062,-0.006983645399025983,-0.0027379885471951835,14536
all_events,51,-0.0049464338288808815,-0.0071098424265021104,-0.002831885918767554,14536
all_events,52,-0.004543431859526863,-0.006705041243797071,-0.0024091319831441027,14536
all_events,53,-0.004369757959744855,-0.006576495331711622,-0.002262269155522398,14536
all_events,54,-0.004487543668550926,-0.006722920405243169,-0.0024205406056944387,14536
all_events,55,-0.004552797260647884,-0.006746484348176175,-0.0024425881116078873,14536
all_events,56,-0.004538727559396301,-0.006807762606455845,-0.002401748416853614,14536
all_events,57,-0.004738671975598116,-0.007082034970333228,-0.0025631985873589063,14536
all_events,58,-0.004275548728335547,-0.006591124835304312,-0.0020998022817926626,14536
all_events,59,-0.004290250558529228,-0.006660976767254648,-0.002133483728670136,14536
all_events,60,-0.004248893257398785,-0.006682824016022379,-0.0020018118163987702,14536
broad_market,0,0.0,0.0,0.0,4937
broad_market,1,-0.0015053679683526382,-0.00229835082164555,-0.0007158951297126458,4937
broad_market,2,-0.0017948444605127652,-0.0028506135815858273,-0.0007649767519616016,4937
broad_market,3,-0.0036661407707461327,-0.004935818542353979,-0.002521546849992486,4937
broad_market,4,-0.0021375950807371678,-0.0035298428335356854,-0.0008197079742451744,4937
broad_market,5,-0.003940038155423792,-0.005413735143883989,-0.002517505934716879,4937
broad_market,6,-0.003769955073475717,-0.005444293833109405,-0.0021212704219373646,4937
broad_market,7,-0.003980398763984765,-0.005778712222823453,-0.002250043680381014,4937
broad_market,8,-0.0028327077619514623,-0.004690549746291298,-0.0011007711699381865,4937
broad_market,9,-0.0012576943916886656,-0.003191789937119603,0.0005547277783993445,4937
broad_market,10,-0.0025210670401466812,-0.004504880230151136,-0.0006156754168172506,4937
broad_market,11,-0.0010321801290207057,-0.0031968227923099353,0.001036863871014341,4937
broad_market,12,-0.0013425562871937156,-0.003542153750826231,0.0008368823857250688,4937
broad_market,13,-0.0022442376551779558,-0.00456763831972588,-7.811574854283008e-05,4937
broad_market,14,-0.0028070998891743027,-0.0052396406698445586,-0.0004747629622729126,4937
broad_market,15,-0.004503108144313681,-0.006933837297674324,-0.002105258909955947,4937
broad_market,16,-0.004762871268082565,-0.007280079841357494,-0.002237802379544849,4937
broad_market,17,-0.0045812543649253355,-0.00710234221168836,-0.002025401228578214,4937
broad_market,18,-0.0052809162573062155,-0.00780085062051951,-0.002663942473689937,4937
broad_market,19,-0.004439884835755548,-0.007045898489879109,-0.00184681339918991,4937
broad_market,20,-0.0034488294831400918,-0.006025695481179266,-0.0008638446572730191,4937
broad_market,21,-0.0022081268328008967,-0.004911080981630573,0.0005117163689515456,4937
broad_market,22,-0.0019881975011577045,-0.004699857474495519,0.0007282502653756064,4937
broad_market,23,-0.0020824828557983884,-0.004771845352805353,0.0006404475476009593,4937
broad_market,24,-0.00188272787567013,-0.0046750546902009,0.0009089738250979256,4937
broad_market,25,-0.0029696132816262855,-0.005899587802243702,-0.00012303023552527286,4937
broad_market,26,-0.0028416574449885838,-0.005817275882319264,5.023845097874254e-05,4937
broad_market,27,-0.0034252254703359525,-0.006572611980964797,-0.0003915019219884103,4937
broad_market,28,-0.00385353298648584,-0.006962792265273197,-0.0007657084834466116,4937
broad_market,29,-0.003111770585920449,-0.006275925110512418,-6.479728253317825e-05,4937
broad_market,30,-0.003060352983314763,-0.006217321564066447,4.210654826143986e-05,4937
broad_market,31,-0.0033700494520244604,-0.006551766630144813,-0.0002679637134490966,4937
broad_market,32,-0.003607839630746288,-0.0067824374463491075,-0.0004468153312040771,4937
broad_market,33,-0.004119653583595218,-0.007316966321834251,-0.0010190242681902125,4937
broad_market,34,-0.004266291834534325,-0.007427278425535466,-0.001017732868932646,4937
broad_market,35,-0.005110131958504233,-0.008291216808072282,-0.0018829385844912796,4937
broad_market,36,-0.004576443964586066,-0.007812041533909865,-0.0011881818528049098,4937
broad_market,37,-0.005136370232088292,-0.008369520354280064,-0.0017635698021685328,4937
broad_market,38,-0.005253974900631892,-0.008491689029725897,-0.0018661750926601871,4937
broad_market,39,-0.00485065815761292,-0.0081003877216794,-0.001467597379136114,4937
broad_market,40,-0.004982541423543311,-0.008324561402475845,-0.0016351906150811847,4937
broad_market,41,-0.005383707231422967,-0.008842980422399945,-0.0019295606449486644,4937
broad_market,42,-0.004612539107384257,-0.008040142090013145,-0.0012318198477221675,4937
broad_market,43,-0.00553996846668373,-0.009070892390514331,-0.0021132961043792394,4937
broad_market,44,-0.005553663178182488,-0.009142317946051175,-0.002090912906182111,4937
broad_market,45,-0.005537833224855189,-0.009097534138178369,-0.0020497881039705586,4937
broad_market,46,-0.005665607372540363,-0.009362396792176608,-0.002087896019294981,4937
broad_market,47,-0.006375999482953093,-0.010032860992460296,-0.0028041936624656192,4937
broad_market,48,-0.006634901586706536,-0.010199218370858715,-0.003010032070335838,4937
broad_market,49,-0.006559790353387909,-0.010145036829519791,-0.0029093224653480984,4937
broad_market,50,-0.005873102849802349,-0.00949010999931344,-0.0022724738061752404,4937
broad_market,51,-0.0058879143350150445,-0.009502503539656273,-0.002175941702889062,4937
broad_market,52,-0.0052137396874721445,-0.008914078304003013,-0.0016506867115335657,4937
broad_market,53,-0.005346136833189619,-0.009059131866623453,-0.0017719257338154096,4937
broad_market,54,-0.005380999977717967,-0.009154292657859792,-0.001790515487823658,4937
broad_market,55,-0.005432768619843635,-0.009159126084425729,-0.0018059062977104532,4937
broad_market,56,-0.00522220385996241,-0.009023161298775803,-0.0013948160082513671,4937
broad_market,57,-0.0054855005450205555,-0.00937090311109512,-0.0016984799950709132,4937
broad_market,58,-0.004427365521515937,-0.008203356676688292,-0.0005415082693929499,4937
broad_market,59,-0.0037566902546224607,-0.007505827170465967,-5.36031124462273e-05,4937
broad_market,60,-0.003545483322576159,-0.0073801859700066445,0.00027932949732306384,4937
sector,0,0.0,0.0,0.0,1425
sector,1,-0.0025095098366903863,-0.004101040646646705,-0.00104143611755944,1425
sector,2,-0.002244336417994523,-0.004343713547057995,-0.00012256265560926452,1425
sector,3,-0.002228427202380805,-0.004643745647347918,0.00040906309544888744,1425
sector,4,-0.003169167507305783,-0.005656437762873145,-0.0004414443242740258,1425
sector,5,-0.00416022299750807,-0.006851252506295529,-0.0012973496939362643,1425
sector,6,-0.003051755577029184,-0.006083600390271654,0.00011463198667531093,1425
sector,7,-0.0022723936015301835,-0.005602300436418379,0.0014449121216982832,1425
sector,8,-0.0037774339348851612,-0.007094038090870446,-0.00022880831436812105,1425
sector,9,-0.0037762885624274146,-0.007227314269933319,-0.00023955948817426794,1425
sector,10,-0.00215491356101596,-0.005715358601480719,0.0015201994188317673,1425
sector,11,-0.0012281309380970994,-0.004945104934650035,0.0026566015266684976,1425
sector,12,-0.0009145387713091707,-0.004662738535289088,0.0030049664657146283,1425
sector,13,0.0007832273019342383,-0.0031372737843871823,0.004891484681900696,1425
sector,14,-0.0008961762563820766,-0.004949936969333344,0.0033345043264686753,1425
sector,15,-0.000553309794919637,-0.004789134350960579,0.00376024167772666,1425
sector,16,-0.0007020529463287906,-0.005155510466513645,0.004015392710671599,1425
sector,17,-0.0015532890552522856,-0.005987561082932336,0.0031876530130095903,1425
sector,18,-0.0018871725297461245,-0.006444311837545777,0.0027385604319344193,1425
sector,19,-0.0018051904993743846,-0.006394513358049845,0.002899330847116253,1425
sector,20,-0.0025810500059060865,-0.0072389972385372425,0.0023638260225083345,1425
sector,21,-0.0022316704918109633,-0.006787117089480184,0.00257701559713718,1425
sector,22,-0.0024428081981362885,-0.007169573285410366,0.002478828935069633,1425
sector,23,-0.0027541110914648006,-0.007391556108300922,0.0021971661030447654,1425
sector,24,-0.004721880528439724,-0.00968938170007158,0.0005089206240554208,1425
sector,25,-0.004128140823508615,-0.009197252275938364,0.0011783084433794305,1425
sector,26,-0.004809677018054867,-0.009939856457805592,0.0004933454226145938,1425
sector,27,-0.0058026507920301805,-0.010985417146774918,-0.0005086577001318938,1425
sector,28,-0.005016137642107953,-0.010423425018472146,0.0003986001312013125,1425
sector,29,-0.0042951658368991395,-0.010029167132196185,0.0012519859786702624,1425
sector,30,-0.003759779722627234,-0.009691879049625315,0.0019456185551763934,1425
sector,31,-0.003689953790659168,-0.009765163880697472,0.0022923556240925886,1425
sector,32,-0.0037008236016054744,-0.009791379839727644,0.002124760307969284,1425
sector,33,-0.0026725111012538363,-0.009059607049283928,0.003510204093478596,1425
sector,34,-0.002511285932604071,-0.00886125090967274,0.0037060745078478447,1425
sector,35,-0.0010139722028621508,-0.007183743770257737,0.005290802854221835,1425
sector,36,-0.0001342020750408802,-0.006543552282100578,0.006184031690403437,1425
sector,37,-0.0004660621479148626,-0.00684235123064601,0.00587513644948708,1425
