model,n,base_rate,val_roc_auc,roc_auc,pr_auc,brier,log_loss,brier_skill_vs_base_rate,accuracy,params
logistic,2199,0.4688494770350159,0.5020234341305689,0.5040806903790707,0.4774682254667715,0.24962707953836935,0.6924295685263165,-0.002399050199648478,0.5238744884038199,"{""C"": 0.01}"
random_forest,2199,0.4688494770350159,0.5191225501209928,0.4989760905092808,0.476862382671584,0.2499000862379683,0.6929537522036242,-0.003495332129005657,0.5156889495225102,"{""min_samples_leaf"": 100}"
lightgbm,2199,0.4688494770350159,0.5117639817533675,0.47648080730239295,0.4362567238409718,0.25641918478308884,0.70635137186979,-0.029673334138528462,0.493406093678945,"{""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 15}"
base_rate,2199,0.4688494770350159,,0.5,0.4688494770350159,0.24904615540249478,0.6912383412763892,-6.629926927836927e-05,0.5311505229649841,{}
