feature,coef,odds_ratio
rv_60,0.08158665172300131,1.0850072312567747
mom_5,0.04968590990745284,1.0509409543899488
spy_mom_20,-0.04924201336560362,0.9519507170212407
volume,-0.04557183237799555,0.9554509677918096
vix_chg,0.04193719710914935,1.0428289840192964
crash_z,0.04052688736586186,1.0413593087348332
rv_ratio,0.03943116225524867,1.0402188900978504
vix,-0.03622432126102577,0.9644239284246013
mom_252,0.029365654405190515,1.0298010769399533
spy_ret_event,0.027785674299803234,1.0281752964145328
rv_20,-0.021718170315216268,0.9785159710417658
excess_vs_sector,-0.021298710761233356,0.9789265050097224
avol,0.020173269824895736,1.020378125449648
raw_return,0.018591962064947905,1.0187658686748267
abs_decline,-0.018591962064947905,0.9815798023355097
med_volume_60,0.01768461088510068,1.017841909503009
mom_60,0.013745703748639693,1.013840610288236
log_volume,0.01293033128220141,1.0130142894946423
mom_20,-0.012480954575342,0.9875966095115869
sector_ret_event,-0.007288928313643462,0.9927375715001671
hl_range,-0.004070746019881339,0.9959375282354263
