horizon,mean,lo,hi,n,p_two_sided
1,-0.001014259826559156,-0.001414506867061979,-0.0006420411415499305,14676,0.0
5,-0.002678661798818016,-0.003421603659401628,-0.001921439589950809,14675,0.0
10,-0.0018736803121593643,-0.0028252657898143337,-0.000890137659698531,14668,0.0
20,-0.0026532490137170074,-0.0040304746588295205,-0.0012379914160378024,14647,0.0
60,-0.004253236175641821,-0.006581431454912708,-0.0020042591258536426,14539,0.0
